symbol,close,mcap_cr,weight
POLYPLEX,1727.3,2494.0,0.02
POONAWALLA,162.9,3363.0,0.03
PFC,142.1,16507.0,0.14
POWERGRID,189.9,64907.0,0.57
PRAJIND,352.7,4210.0,0.04
PRESTIGE,490.85,6887.0,0.06
PRINCEPIPE,692.0,2132.0,0.02
PRSMJOHNSN,124.85,1571.0,0.01
PGHL,5403.6,4305.0,0.04
PGHH,14073.8,13249.0,0.12
PNB,40.1,11922.0,0.1
QUESS,916.2,6092.0,0.05
RBLBANK,190.9,9496.0,0.08
RECLTD,157.85,14652.0,0.13
RHIM,354.8,1449.0,0.01
RITES,273.45,1840.0,0.02
RADICO,881.0,7066.0,0.06
RVNL,30.2,1385.0,0.01
RAILTEL,128.65,1115.0,0.01
RAIN,240.9,4537.0,0.04
RAJESHEXPO,587.0,7973.0,0.07
RALLIS,285.9,2780.0,0.02
RCF,82.7,1141.0,0.01
RATNAMANI,2186.35,3780.0,0.03
REDINGTON,139.4,6861.0,0.06
RELAXO,1141.05,8221.0,0.07
RELIANCE,2519.25,814503.0,7.1
ROSSARI,1451.25,1758.0,0.02
ROUTE,1949.85,3501.0,0.03
SBICARD,1029.6,23257.0,0.2
SBILIFE,1215.1,53475.0,0.47
SIS,495.2,1962.0,0.02
SJVN,28.15,1438.0,0.01
SKFINDIA,3091.25,7183.0,0.06
SRF,11279.1,32743.0,0.29
SANOFI,7799.8,7185.0,0.06
SCHAEFFLER,7558.55,6143.0,0.05
SCHNEIDER,114.35,684.0,0.01
SEQUENT,219.75,2456.0,0.02
SHARDACROP,330.6,746.0,0.01
SFL,2338.3,3080.0,0.03
SHILPAMED,556.9,2089.0,0.02
SCI,121.25,2033.0,0.02
SHREECEM,28901.55,38583.0,0.34
SHRIRAMCIT,2033.25,4701.0,0.04
SRTRANSFIN,1298.85,26183.0,0.23
SIEMENS,2129.4,18958.0,0.17
SOBHA,789.85,2847.0,0.02
SOLARINDS,2118.3,5175.0,0.05
SOLARA,1599.6,2644.0,0.02
SONATSOFTW,874.8,6348.0,0.06
SPANDANA,569.85,1101.0,0.01
SPICEJET,75.15,1808.0,0.02
STARCEMENT,107.25,929.0,0.01
SBIN,453.0,173843.0,1.51
SAIL,113.65,16430.0,0.14
SWSOLAR,400.0,1924.0,0.02
STLTECH,286.05,5226.0,0.05
STAR,589.5,3705.0,0.03
SUDARSCHEM,658.15,2734.0,0.02
SUMICHEM,402.15,5018.0,0.04
SPARC,295.85,2182.0,0.02
SUNPHARMA,818.25,88347.0,0.77
SUNTV,505.35,4979.0,0.04
SUNDARMFIN,2450.15,16605.0,0.14
SUNDRMFAST,914.85,9612.0,0.08
SUNTECK,481.65,2327.0,0.02
SUPRAJIT,321.6,2448.0,0.02
SUPREMEIND,2334.55,15124.0,0.13
SUPPETRO,686.8,2325.0,0.02
SUVENPHAR,528.25,5379.0,0.05
SUZLON,6.45,3502.0,0.03
SYMPHONY,1070.95,1873.0,0.02
SYNGENE,599.9,6973.0,0.06
TCIEXP,1543.4,1960.0,0.02
TCNSBRANDS,652.6,1325.0,0.01
