trade_idx,underlying,entry_date,expiry,date,leg,strike,close,volume,oi,num_trades,notional_lakh,traded_value_inr,avg_trade_inr,our_share_of_traded
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-26,wpe_long,22550,1.05,68246,237075,13620.0,38475605208.75,2866332.0,210.0,0.0011
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-27,ce_short,23600,1.85,64211682,16100050,11221874.0,37904802344318.8,4751664468.0,423.0,0.0
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-27,pe_short,22700,0.1,1474704,1823400,137815.0,836907245211.25,5898816.0,43.0,0.0008
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-27,wce_long,23750,0.15,15804881,3280750,1950311.0,9384934514478.76,94829286.0,49.0,0.0
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-27,wpe_long,22550,0.1,385500,512425,31319.0,217328008357.5,1542000.0,49.0,0.0021
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-18,ce_short,24800,52.4,172041,182200,67757.0,106865515821.25,360597936.0,5322.0,0.0
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-18,pe_short,23850,56.2,59299,124525,30979.0,35454954693.75,133304152.0,4303.0,0.0001
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-18,wce_long,24950,35.0,55351,58750,23742.0,34571844997.5,77491400.0,3264.0,0.0001
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-18,wpe_long,23700,41.4,75329,141500,36136.0,44717690530.0,124744824.0,3452.0,0.0001
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-19,ce_short,24800,29.45,215818,285775,86767.0,134044445026.25,254233604.0,2930.0,0.0
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-19,pe_short,23850,14.65,82203,116300,36792.0,49053237472.5,48170958.0,1309.0,0.0002
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-19,wce_long,24950,14.25,97619,111325,45796.0,60948292006.25,55642830.0,1215.0,0.0001
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-19,wpe_long,23700,9.5,140540,391375,49328.0,83314933668.75,53405200.0,1083.0,0.0002
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-20,ce_short,24800,62.3,781240,339925,303172.0,485298840520.0,1946850080.0,6422.0,0.0
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-20,pe_short,23850,8.0,100431,145350,40854.0,59904672655.0,32137920.0,787.0,0.0003
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-20,wce_long,24950,26.2,400193,220550,172741.0,249837628747.5,419402264.0,2428.0,0.0
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-20,wpe_long,23700,6.85,218497,535675,54815.0,129494280478.75,59868178.0,1092.0,0.0001
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-23,ce_short,24800,175.65,647870,226350,243491.0,404021615480.0,4551934620.0,18694.0,0.0
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-23,pe_short,23850,3.0,84026,359075,18384.0,50107202101.25,10083120.0,548.0,0.0011
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-23,wce_long,24950,78.2,1266409,1084125,470493.0,792299828678.75,3961327352.0,8420.0,0.0
11,FINNIFTY,2024-09-18,2024-09-24,2024-09-23,wpe_long,23700,2.75,209400,974450,40128.0,124084396035.0,23034000.0,574.0,0.0004
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-19,ce_short,23850,43.7,3062,31600,768.0,1829345947.5,8697611.0,11325.0,0.0016
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-19,pe_short,22950,66.65,421,3800,178.0,242100060.0,1823877.0,10247.0,0.0116
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-19,wce_long,24000,24.5,20885,111850,4865.0,12547800010.0,33259362.0,6836.0,0.0002
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-19,wpe_long,22800,45.2,2945,22600,772.0,1681644682.5,8652410.0,11208.0,0.0017
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-21,ce_short,23850,15.95,74165,65250,29693.0,44259073653.75,76890564.0,2590.0,0.0002
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-21,pe_short,22950,68.25,68948,124275,33820.0,39702520718.75,305870565.0,9044.0,0.0001
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-21,wce_long,24000,8.15,153792,330850,36607.0,92319068102.5,81471312.0,2226.0,0.0001
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-21,wpe_long,22800,44.2,87229,106550,36379.0,49837167457.5,250608917.0,6889.0,0.0001
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-22,ce_short,23850,58.3,164157,149425,71021.0,98064928673.75,622072952.0,8759.0,0.0
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-22,pe_short,22950,22.35,89277,145850,33751.0,51291019043.75,129697162.0,3843.0,0.0002
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-22,wce_long,24000,28.8,450084,496925,108522.0,270307319126.25,842557248.0,7764.0,0.0
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-22,wpe_long,22800,13.35,190478,509025,60183.0,108657754245.0,165287284.0,2746.0,0.0001
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-25,ce_short,23850,231.0,33804,44325,16467.0,20360343793.75,507567060.0,30823.0,0.0
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-25,pe_short,22950,1.7,65014,224725,19165.0,37306120686.25,7184047.0,375.0,0.003
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-25,wce_long,24000,125.0,925769,609025,332887.0,558477743961.25,7521873125.0,22596.0,0.0
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-25,wpe_long,22800,1.4,231051,561775,42332.0,131710442861.25,21025641.0,497.0,0.0007
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-26,ce_short,23850,195.25,93586,38075,44664.0,56245082993.75,1187723322.0,26592.0,0.0
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-26,pe_short,22950,0.1,313902,337700,34422.0,180104600513.75,2040363.0,59.0,0.0104
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-26,wce_long,24000,45.1,10209508,1718850,2674521.0,6139919472722.5,29929172702.0,11190.0,0.0
12,FINNIFTY,2024-11-19,2024-11-26,2024-11-26,wpe_long,22800,0.1,375328,430900,35659.0,213940133662.5,2439632.0,68.0,0.0061
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-16,ce_short,25350,144.95,4323,32375,2338.0,2755164883.75,40730225.0,17421.0,0.0011
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-16,pe_short,24350,108.0,1561,22900,593.0,954970268.75,10958220.0,18479.0,0.0031
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-16,wce_long,25500,106.3,19676,151650,6702.0,12597485735.0,135951322.0,20285.0,0.0003
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-16,wpe_long,24200,82.1,2803,72400,1124.0,1702306082.5,14958209.0,13308.0,0.0018
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-17,ce_short,25350,85.55,3251,35925,1622.0,2068308227.5,18077998.0,11145.0,0.0026
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-17,pe_short,24350,194.8,6293,33075,4288.0,3860470240.0,79681966.0,18583.0,0.0004
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-17,wce_long,25500,65.3,13903,163275,7338.0,8889770927.5,59011284.0,8042.0,0.0006
