trade_idx,underlying,entry_date,expiry,date,leg,strike,close,volume,oi
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-11,ce_short,28250,71.4,64,11050
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-11,pe_short,27150,386.0,0,0
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-11,wce_long,28400,47.75,99,7215
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-11,wpe_long,27000,59.05,428,20410
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-12,ce_short,28250,77.3,24,11050
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-12,pe_short,27150,386.0,0,0
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-12,wce_long,28400,50.2,157,8385
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-12,wpe_long,27000,39.75,494,20540
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-15,ce_short,28250,56.95,131,11180
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-15,pe_short,27150,386.0,0,0
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-15,wce_long,28400,35.15,195,10400
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-15,wpe_long,27000,44.15,588,24050
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-16,ce_short,28250,28.15,233,12415
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-16,pe_short,27150,386.0,0,0
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-16,wce_long,28400,20.25,96,8905
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-16,wpe_long,27000,67.4,1134,23335
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-17,ce_short,28250,16.4,47,11180
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-17,pe_short,27150,123.85,120,1430
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-17,wce_long,28400,12.55,123,7085
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-17,wpe_long,27000,83.95,2039,30615
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-18,ce_short,28250,16.1,66,10270
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-18,pe_short,27150,111.35,258,3445
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-18,wce_long,28400,11.3,53,7410
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-18,wpe_long,27000,72.2,2389,43680
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-19,ce_short,28250,14.1,32,10400
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-19,pe_short,27150,71.9,111,2015
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-19,wce_long,28400,10.0,81,8320
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-19,wpe_long,27000,45.25,1628,24440
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-22,ce_short,28250,11.1,51,9360
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-22,pe_short,27150,44.85,90,3055
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-22,wce_long,28400,8.25,425,14820
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-22,wpe_long,27000,28.15,788,18590
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-23,ce_short,28250,9.3,84,12480
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-23,pe_short,27150,20.15,94,4550
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-23,wce_long,28400,5.7,105,13715
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-23,wpe_long,27000,12.7,666,30550
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-24,ce_short,28250,4.55,207,13585
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-24,pe_short,27150,10.95,168,5980
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-24,wce_long,28400,2.95,672,17095
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-24,wpe_long,27000,6.4,1906,45110
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-26,ce_short,28250,2.45,455,9685
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-26,pe_short,27150,9.6,1381,13975
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-26,wce_long,28400,1.85,950,12480
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-26,wpe_long,27000,4.75,1949,28080
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-29,ce_short,28250,1.8,782,22035
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-29,pe_short,27150,7.0,13419,33865
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-29,wce_long,28400,1.35,1177,14040
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-29,wpe_long,27000,3.1,4045,48750
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-30,ce_short,28250,0.25,4730,24050
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-30,pe_short,27150,0.15,87813,71760
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-30,wce_long,28400,0.15,1391,10660
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-30,wpe_long,27000,0.15,9168,31655
31,FINNIFTY,2026-01-08,2026-01-27,2026-01-08,ce_short,28250,101.85,105,9720
31,FINNIFTY,2026-01-08,2026-01-27,2026-01-08,pe_short,27100,61.1,139,5400
31,FINNIFTY,2026-01-08,2026-01-27,2026-01-08,wce_long,28400,60.4,551,23760
31,FINNIFTY,2026-01-08,2026-01-27,2026-01-08,wpe_long,26950,31.55,0,1380
31,FINNIFTY,2026-01-08,2026-01-27,2026-01-09,ce_short,28250,47.0,34,10560
31,FINNIFTY,2026-01-08,2026-01-27,2026-01-09,pe_short,27100,109.85,587,7680
31,FINNIFTY,2026-01-08,2026-01-27,2026-01-09,wce_long,28400,30.55,527,17280
31,FINNIFTY,2026-01-08,2026-01-27,2026-01-09,wpe_long,26950,31.55,0,1380
31,FINNIFTY,2026-01-08,2026-01-27,2026-01-12,ce_short,28250,53.7,85,10260
31,FINNIFTY,2026-01-08,2026-01-27,2026-01-12,pe_short,27100,83.35,722,7260
