Date,Open,High,Low,Close,Volume
2024-08-16 04:00:00,49.0,49.0,48.0,48.1,784623.0
2024-08-19 04:00:00,48.57,48.9,48.14,48.24,1221500.0
2024-08-20 04:00:00,48.37,48.84,48.3,48.69,1129679.0
2024-08-21 04:00:00,49.0,51.36,48.8,50.32,3668102.0
2024-08-22 04:00:00,51.0,51.2,50.4,50.77,1781439.0
2024-08-23 04:00:00,51.0,51.04,50.16,50.26,1115309.0
2024-08-26 04:00:00,50.7,50.86,49.8,50.0,944222.0
2024-08-27 04:00:00,50.0,50.1,49.55,49.65,876856.0
2024-08-28 04:00:00,49.9,50.35,49.56,49.65,811925.0
2024-08-29 04:00:00,49.75,49.9,48.51,48.69,1477262.0
2024-08-30 04:00:00,48.81,49.34,48.81,49.0,1045861.0
2024-09-02 04:00:00,49.44,49.5,49.03,49.17,939906.0
2024-09-03 04:00:00,49.26,50.1,49.21,49.54,1248370.0
2024-09-04 04:00:00,49.24,49.44,49.06,49.13,595433.0
2024-09-05 04:00:00,49.5,49.6,48.67,49.1,914186.0
2024-09-06 04:00:00,49.1,49.25,48.5,48.6,1052714.0
2024-09-09 04:00:00,48.16,48.86,47.65,47.98,1333074.0
2024-09-10 04:00:00,47.98,48.79,47.92,47.99,1205097.0
2024-09-11 04:00:00,48.24,48.3,47.05,47.8,736593.0
2024-09-12 04:00:00,47.9,48.21,47.72,47.87,1293111.0
2024-09-13 04:00:00,47.85,48.5,47.85,48.12,1074912.0
2024-09-16 04:00:00,48.28,48.3,47.7,47.76,2717828.0
2024-09-17 04:00:00,48.25,48.26,47.42,47.57,1277980.0
2024-09-18 04:00:00,47.6,47.99,46.66,46.77,1860534.0
2024-09-19 04:00:00,47.07,47.36,44.92,45.5,5004780.0
2024-09-20 04:00:00,46.2,46.95,45.5,46.85,1709025.0
2024-09-23 04:00:00,48.0,48.0,46.76,46.83,2752650.0
2024-09-24 04:00:00,47.28,47.29,46.71,46.92,1059462.0
2024-09-25 04:00:00,47.25,47.33,46.54,46.89,1326063.0
2024-09-26 04:00:00,46.76,46.89,46.27,46.4,1143768.0
2024-09-27 04:00:00,46.5,46.85,45.4,45.47,3704370.0
2024-09-30 04:00:00,45.66,45.8,44.81,44.98,2550138.0
2024-10-01 04:00:00,44.98,45.99,44.92,45.82,1213664.0
2024-10-03 04:00:00,45.75,46.39,45.25,46.06,2603020.0
2024-10-04 04:00:00,45.9,46.2,45.11,45.73,1686109.0
2024-10-07 04:00:00,45.85,46.23,44.3,45.03,2680428.0
2024-10-08 04:00:00,45.0,45.29,44.32,45.14,1021353.0
