entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year,running_pnl,equity,roi_pct,peak,drawdown_pct
2024-12-26,2025-01-30,2025-01-30,23750.2,24950,22550,25450,22050,60.63,57.5,25.93,33.29,0.0,0.0,0.0,0.0,58.9,0.0,58.9,75,1,4417.5,441.097,33082.275,116683.5,58.34,EXPIRY,2024-12,2024,24982.5,224982.5,12.4912,224982.5,0.0
2025-01-30,2025-02-27,2025-02-27,23249.5,24400,22100,24900,21600,87.22,78.34,40.82,46.8,0.0,0.0,0.0,0.0,77.92,0.0,77.92,75,1,5844.0,422.07599999999996,31655.699999999997,112003.5,56.0,EXPIRY,2025-01,2025,30826.5,230826.5,15.4132,230826.5,0.0
2025-02-27,2025-03-27,2025-03-27,22545.0,23650,21400,24150,20900,28.66,31.56,10.64,15.81,0.0,0.0,0.0,0.0,33.76,0.0,33.76,75,1,2532.0,466.236,34967.7,112893.75,56.45,EXPIRY,2025-02,2025,33358.5,233358.5,16.6792,233358.5,0.0
2025-05-08,2025-05-29,2025-05-29,24273.8,25500,23050,26000,22550,29.81,133.54,15.24,119.77,0.0,0.0,0.0,0.0,28.34,0.0,28.34,75,1,2125.5,471.664,35374.799999999996,113676.75,56.84,EXPIRY,2025-05,2025,35484.0,235484.0,17.742,235484.0,0.0
2025-05-29,2025-06-26,2025-06-26,24833.6,26100,23600,26600,23100,56.81,61.13,26.33,39.04,0.0,0.0,0.0,0.0,52.57,0.0,52.57,75,1,3942.75,447.4335,33557.5125,121832.25,60.92,EXPIRY,2025-05,2025,39426.75,239426.75,19.7134,239426.75,0.0
2025-07-03,2025-07-31,2025-07-31,25405.3,26700,24150,27200,23650,22.95,32.02,9.14,19.38,0.0,0.0,0.0,0.0,26.45,0.0,26.45,75,1,1983.75,473.55,35516.25,127528.5,63.76,EXPIRY,2025-07,2025,41410.5,241410.5,20.7052,241410.5,0.0
2025-07-31,2025-08-28,2025-08-28,24768.3,26000,23550,26500,23050,21.9,26.31,10.64,14.6,0.0,0.0,0.0,0.0,22.97,0.0,22.97,75,1,1722.75,477.0345,35777.5875,124459.5,62.23,EXPIRY,2025-07,2025,43133.25,243133.25,21.5666,243133.25,0.0
2025-08-28,2025-09-25,2025-09-25,24500.9,25750,23300,26250,22800,30.22,33.58,14.26,25.18,0.0,0.0,0.0,0.0,24.36,0.0,24.36,75,1,1827.0,475.643,35673.225,122119.5,61.06,EXPIRY,2025-08,2025,44960.25,244960.25,22.4801,244960.25,0.0
2025-11-27,2025-12-30,2025-12-30,26215.5,27550,24900,28050,24400,19.09,27.19,10.87,19.26,0.0,0.0,0.0,0.0,16.15,0.0,16.15,75,1,1211.25,483.854,36289.049999999996,131487.75,65.74,EXPIRY,2025-11,2025,46171.5,246171.5,23.0858,246171.5,0.0
2026-01-08,2026-01-27,2026-01-27,25876.8,27150,24600,27650,24100,7.96,10.07,5.0,8.39,0.0,0.0,0.0,0.0,4.63,0.0,4.63,75,1,347.25,495.3655,37152.4125,130958.25,65.48,EXPIRY,2026-01,2026,46518.75,246518.75,23.2594,246518.75,0.0
2026-01-29,2026-02-24,2026-02-24,25418.9,26700,24150,27200,23650,30.68,41.68,16.16,27.43,0.0,0.0,0.0,0.0,28.77,0.0,28.77,75,1,2157.75,471.227,35342.025,126398.25,63.2,EXPIRY,2026-01,2026,48676.5,248676.5,24.3382,248676.5,0.0
2026-04-02,2026-04-28,2026-04-28,22713.1,23850,21600,24350,21100,169.14,242.01,93.15,207.06,145.7,0.0,0.0,0.0,110.94,162.46,-51.52,75,1,-3864.0000000000005,389.05949999999996,29179.462499999998,93381.75,46.69,EXPIRY,2026-04,2026,44812.5,244812.5,22.4062,248676.5,-1.5538
2026-04-30,2026-05-26,2026-05-26,23997.5,25200,22800,25700,22300,70.06,92.18,29.96,63.94,0.0,0.0,0.0,0.0,68.34,0.0,68.34,75,1,5125.5,431.65549999999996,32374.1625,115357.5,57.68,EXPIRY,2026-04,2026,49938.0,249938.0,24.969,249938.0,0.0
