entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,exit_reason,month,year,running_pnl,equity,roi_pct,peak,drawdown_pct
2025-02-03,2025-02-25,2025-02-25,23132.5,23600,22650,23750,22500,244.46,162.83,190.94,148.05,0.0,0.0,0.0,0.0,68.29,0.0,68.29,65,5,22194.58,81.70899999999995,26555.42499999998,EXPIRY,2025-02,2025,877495.5699999997,1077495.5699999998,438.7477849999999,1318966.0199999998,-18.307556551001973
2025-03-03,2025-03-25,2025-03-25,22953.0,23400,22500,23550,22350,214.77,166.21,187.83,150.55,1686.0,0.0,1536.0,0.0,42.59,153.0,-110.41,65,5,-35883.25,107.40999999999997,34908.24999999999,EXPIRY,2025-03,2025,841612.3199999997,1041612.3199999997,420.80615999999986,1318966.0199999998,-21.028115644707825
2025-04-07,2025-04-21,2025-04-24,23908.5,24400,23450,24550,23300,582.12,319.63,500.06,309.37,2025.2,3.1,1489.0,3.3,92.33,546.72,-454.39,65,5,-147678.05,57.67400000000009,18744.05000000003,SL,2025-04,2025,693934.2699999998,893934.2699999998,346.96713499999987,1318966.0199999998,-32.22461712849889
2025-04-28,2025-05-29,2025-05-29,26291.7,26800,25750,26950,25600,322.57,272.44,277.49,243.88,0.0,0.0,0.0,0.0,73.63,0.0,73.63,65,5,23931.05,76.3660000000001,24818.950000000033,EXPIRY,2025-04,2025,717865.3199999998,917865.3199999998,358.93265999999994,1318966.0199999998,-30.410237558659777
2025-06-02,2025-06-26,2025-06-26,26448.4,27000,25900,27150,25750,290.08,215.89,251.63,193.09,248.4,0.0,98.4,0.0,61.25,153.0,-91.75,65,5,-29817.45,88.74600000000004,28842.45000000001,EXPIRY,2025-06,2025,688047.8699999999,888047.8699999999,344.02393499999994,1318966.0199999998,-32.67090610871082
2025-06-30,2025-07-31,2025-07-31,27174.5,27700,26650,27850,26500,244.07,343.59,244.8,156.31,0.0,0.05,0.0,0.0,186.54,0.05,186.49,65,5,60609.58,-36.54200000000003,-11876.15000000001,EXPIRY,2025-06,2025,748657.4499999998,948657.4499999998,374.32872499999996,1318966.0199999998,-28.075671729587093
2025-08-18,2025-08-28,2025-08-28,26609.1,27150,26100,27300,25950,389.75,46.21,35.19,32.18,0.0,459.7,0.0,309.7,368.58,153.0,215.58,65,5,70064.15,-218.582,-71039.15,EXPIRY,2025-08,2025,818721.5999999999,1018721.5999999999,409.3608,1318966.0199999998,-22.763620551801626
2025-09-22,2025-09-30,2025-09-30,26528.4,27050,26000,27200,25850,158.07,24.84,18.05,25.4,0.0,0.0,0.0,0.0,139.47,0.0,139.47,65,5,45326.12,10.534999999999997,3423.874999999999,EXPIRY,2025-09,2025,864047.7199999999,1064047.7199999997,432.02385999999996,1318966.0199999998,-19.32713171791947
2025-10-13,2025-10-28,2025-10-28,26885.2,27400,26350,27550,26200,827.51,82.86,72.57,63.75,53.95,0.0,0.0,0.0,774.05,55.03,719.02,65,5,233681.17,-624.048,-202815.59999999998,EXPIRY,2025-10,2025,1097728.89,1297728.89,548.8644449999999,1318966.0199999998,-1.610134732659746
2025-11-03,2025-11-25,2025-11-25,27306.2,27850,26750,28000,26600,179.98,206.0,143.11,107.66,0.0,0.0,0.0,0.0,135.21,0.0,135.21,65,5,43941.95,14.794000000000068,4808.050000000022,EXPIRY,2025-11,2025,1141670.8399999999,1341670.8399999999,570.83542,1341670.8399999999,0.0
2025-12-01,2025-12-30,2025-12-30,27814.5,28350,27250,28500,27100,269.94,418.12,153.36,107.71,0.0,0.0,0.0,0.0,426.99,0.0,426.99,65,5,138771.43,-276.98900000000003,-90021.42500000002,EXPIRY,2025-12,2025,1280442.2699999998,1480442.2699999998,640.2211349999999,1480442.2699999998,0.0
2026-01-12,2026-01-27,2026-01-27,27518.5,28050,26950,28200,26800,92.71,76.88,64.41,45.59,0.0,0.0,0.0,0.0,59.58,0.0,59.58,60,5,17874.6,90.418,27125.4,EXPIRY,2026-01,2026,1298316.8699999999,1498316.8699999999,649.1584349999999,1498316.8699999999,0.0
2026-02-02,2026-02-19,2026-02-24,26799.0,27350,26250,27500,26100,203.5,176.35,169.32,145.45,988.55,6.1,582.5,6.7,65.08,413.56,-348.48,60,5,-104544.9,84.92399999999998,25477.199999999993,SL,2026-02,2026,1193771.97,1393771.97,596.885985,1498316.8699999999,-6.977489347763929
2026-04-06,2026-04-28,2026-04-28,24603.1,25100,24100,25250,23950,2428.83,43.32,84.97,705.08,837.5,0.0,687.5,0.0,1682.11,153.0,1529.11,60,5,458732.1,-1532.1069999999995,-459632.09999999986,EXPIRY,2026-04,2026,1652504.0699999998,1852504.0699999998,826.2520349999999,1852504.0699999998,0.0
2026-05-04,2026-05-26,2026-05-26,25814.4,26350,25300,26500,25150,476.92,243.48,274.18,267.39,0.0,0.0,0.0,0.0,178.83,0.0,178.83,60,5,53648.7,-28.82899999999995,-8648.699999999986,EXPIRY,2026-05,2026,1706152.7699999998,1906152.7699999998,853.076385,1906152.7699999998,0.0
