entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,exit_reason,month,year,running_pnl,equity,roi_pct,margin_required_inr,margin_pct_of_capital,peak,drawdown_pct
2025-02-03,2025-02-25,2025-02-25,23132.5,24050,22200,24350,21900,110.29,92.02,77.77,75.75,0.0,0.0,0.0,0.0,48.79,0.0,48.79,65,1,3171.35,251.2135,16328.88,EXPIRY,2025-02,2025,164850.2,364850.2,82.4251,92233.7,46.1,364850.2,0.0
2025-03-10,2025-03-19,2025-03-25,23056.8,24000,22150,24300,21850,33.61,57.42,15.1,26.97,309.05,3.3,138.55,2.4,48.96,173.11,-124.15,65,1,-8069.75,251.036,16317.34,SL,2025-03,2025,156780.45,356780.45,78.3902,99256.95,49.6,364850.2,-2.2118
2025-04-07,2025-04-17,2025-04-24,23908.5,24850,22950,25150,22650,179.04,21.83,95.14,11.77,1239.4,7.55,928.3,6.5,93.96,315.27,-221.31,65,1,-14385.15,206.0375,13392.44,SL,2025-04,2025,142395.3,342395.3,71.1976,98688.85,49.3,364850.2,-6.1546
2025-05-05,2025-05-29,2025-05-29,26164.9,27200,25100,27500,24800,132.51,158.45,84.89,123.07,0.0,0.0,0.0,0.0,83.0,0.0,83.0,65,1,5395.0,216.998,14104.87,EXPIRY,2025-05,2025,147790.3,347790.3,73.8952,102065.6,51.0,364850.2,-4.6759
2025-06-02,2025-06-26,2025-06-26,26448.4,27500,25400,27800,25100,156.57,122.81,105.04,84.39,0.0,0.0,0.0,0.0,89.95,0.0,89.95,65,1,5846.75,210.0475,13653.09,EXPIRY,2025-06,2025,153637.05,353637.05,76.8185,104596.05,52.3,364850.2,-3.0734
2025-06-30,2025-07-31,2025-07-31,27174.5,28250,26100,28550,25800,338.83,779.53,264.97,62.57,0.0,0.0,0.0,0.0,790.81,0.0,790.81,65,1,51402.65,-490.81049999999993,-31902.68,EXPIRY,2025-06,2025,205039.7,405039.7,102.5199,98823.4,49.4,405039.7,0.0
2025-08-04,2025-08-28,2025-08-28,26476.6,27550,25400,27850,25100,40.59,457.53,24.34,31.76,0.0,0.0,0.0,0.0,442.01,0.0,442.01,65,1,28730.65,-142.01299999999992,-9230.84,EXPIRY,2025-08,2025,233770.35,433770.35,116.8852,113373.0,56.7,433770.35,0.0
2025-09-22,2025-09-30,2025-09-30,26528.4,27600,25450,27900,25150,6.73,9.36,4.44,8.03,0.0,0.0,0.0,0.0,3.61,0.0,3.61,65,1,234.65,296.386,19265.09,EXPIRY,2025-09,2025,234005.0,434005.0,117.0025,116429.95,58.2,434005.0,0.0
2025-10-06,2025-10-16,2025-10-28,26712.0,27800,25650,28100,25350,26.14,299.57,14.14,209.88,87.65,302.6,42.0,22.45,101.69,329.06,-227.37,65,1,-14779.05,198.308,12890.02,SL,2025-10,2025,219225.95,419225.95,109.613,103563.2,51.8,434005.0,-3.4053
2025-11-03,2025-11-25,2025-11-25,27306.2,28400,26200,28700,25900,64.99,1025.49,39.09,40.15,0.0,0.0,0.0,0.0,1011.25,0.0,1011.25,65,1,65731.25,-711.2504999999999,-46231.28,EXPIRY,2025-11,2025,284957.2,484957.2,142.4786,115515.4,57.8,484957.2,0.0
2025-12-15,2025-12-30,2025-12-30,27603.2,28700,26500,29000,26200,15.0,17.82,10.35,12.98,0.0,0.0,0.0,0.0,9.49,0.0,9.49,65,1,616.85,290.5125,18883.31,EXPIRY,2025-12,2025,285574.05,485574.05,142.787,120475.55,60.2,485574.05,0.0
2026-02-02,2026-02-13,2026-02-24,26799.0,27850,25750,28150,25450,92.81,112.17,56.61,36.66,599.9,10.4,238.3,7.8,111.71,367.84,-256.14,60,1,-15368.4,188.294,11297.64,SL,2026-02,2026,270205.65,470205.65,135.1028,103747.8,51.9,485574.05,-3.165
2026-04-15,2026-04-28,2026-04-28,27564.1,28650,26450,28950,26150,19.5,2764.97,11.72,523.08,0.0,512.5,0.0,212.5,2249.68,303.0,1946.68,60,1,116800.8,-1949.679,-116980.74,EXPIRY,2026-04,2026,387006.45,587006.45,193.5032,80316.0,40.2,587006.45,0.0
2026-05-04,2026-05-26,2026-05-26,25814.4,26850,24800,27150,24500,175.72,228.44,122.41,132.92,0.0,0.0,0.0,0.0,148.84,0.0,148.84,60,1,8930.4,151.16049999999998,9069.63,EXPIRY,2026-05,2026,395936.85,595936.85,197.9684,90046.2,45.0,595936.85,0.0
